movie_id,cast,director
19995,"['SamWorthington', 'ZoeSaldana', 'SigourneyWeaver']",JamesCameron
285,"['JohnnyDepp', 'OrlandoBloom', 'KeiraKnightley']",GoreVerbinski
206647,"['DanielCraig', 'ChristophWaltz', 'LéaSeydoux']",SamMendes
49026,"['ChristianBale', 'MichaelCaine', 'GaryOldman']",ChristopherNolan
49529,"['TaylorKitsch', 'LynnCollins', 'SamanthaMorton']",AndrewStanton
559,"['TobeyMaguire', 'KirstenDunst', 'JamesFranco']",SamRaimi
38757,"['ZacharyLevi', 'MandyMoore', 'DonnaMurphy']",ByronHoward
99861,"['RobertDowneyJr.', 'ChrisHemsworth', 'MarkRuffalo']",JossWhedon
767,"['DanielRadcliffe', 'RupertGrint', 'EmmaWatson']",DavidYates
209112,"['BenAffleck', 'HenryCavill', 'GalGadot']",ZackSnyder
1452,"['BrandonRouth', 'KevinSpacey', 'KateBosworth']",BryanSinger
10764,"['DanielCraig', 'OlgaKurylenko', 'MathieuAmalric']",MarcForster
58,"['JohnnyDepp', 'OrlandoBloom', 'KeiraKnightley']",GoreVerbinski
57201,"['JohnnyDepp', 'ArmieHammer', 'WilliamFichtner']",GoreVerbinski
49521,"['HenryCavill', 'AmyAdams', 'MichaelShannon']",ZackSnyder
2454,"['BenBarnes', 'WilliamMoseley', 'AnnaPopplewell']",AndrewAdamson
24428,"['RobertDowneyJr.', 'ChrisEvans', 'MarkRuffalo']",JossWhedon
1865,"['JohnnyDepp', 'PenélopeCruz', 'IanMcShane']",RobMarshall
41154,"['WillSmith', 'TommyLeeJones', 'JoshBrolin']",BarrySonnenfeld
122917,"['MartinFreeman', 'IanMcKellen', 'RichardArmitage']",PeterJackson
1930,"['AndrewGarfield', 'EmmaStone', 'RhysIfans']",MarcWebb
20662,"['RussellCrowe', 'CateBlanchett', 'MaxvonSydow']",RidleyScott
57158,"['MartinFreeman', 'IanMcKellen', 'RichardArmitage']",PeterJackson
2268,"['DakotaBlueRichards', 'NicoleKidman', 'DanielCraig']",ChrisWeitz
254,"['NaomiWatts', 'JackBlack', 'AdrienBrody']",PeterJackson
597,"['KateWinslet', 'LeonardoDiCaprio', 'FrancesFisher']",JamesCameron
271110,"['ChrisEvans', 'RobertDowneyJr.', 'ScarlettJohansson']",AnthonyRusso
44833,"['TaylorKitsch', 'AlexanderSkarsgård', 'Rihanna']",PeterBerg
135397,"['ChrisPratt', 'BryceDallasHoward', 'IrrfanKhan']",ColinTrevorrow
37724,"['DanielCraig', 'JudiDench', 'JavierBardem']",SamMendes
558,"['TobeyMaguire', 'KirstenDunst', 'JamesFranco']",SamRaimi
68721,"['RobertDowneyJr.', 'GwynethPaltrow', 'DonCheadle']",ShaneBlack
12155,"['MiaWasikowska', 'JohnnyDepp', 'AnneHathaway']",TimBurton
36668,"['HughJackman', 'HalleBerry', 'IanMcKellen']",BrettRatner
62211,"['BillyCrystal', 'JohnGoodman', 'SteveBuscemi']",DanScanlon
8373,"['ShiaLaBeouf', 'MeganFox', 'JoshDuhamel']",MichaelBay
91314,"['MarkWahlberg', 'StanleyTucci', 'KelseyGrammer']",MichaelBay
68728,"['JamesFranco', 'MilaKunis', 'RachelWeisz']",SamRaimi
102382,"['AndrewGarfield', 'EmmaStone', 'JamieFoxx']",MarcWebb
20526,"['GarrettHedlund', 'JeffBridges', 'OliviaWilde']",JosephKosinski
49013,"['OwenWilson', 'LarrytheCableGuy', 'MichaelCaine']",JohnLasseter
44912,"['RyanReynolds', 'BlakeLively', 'PeterSarsgaard']",MartinCampbell
10193,"['TomHanks', 'TimAllen', 'NedBeatty']",LeeUnkrich
534,"['ChristianBale', 'SamWorthington', 'AntonYelchin']",McG
168259,"['VinDiesel', 'PaulWalker', 'DwayneJohnson']",JamesWan
72190,"['BradPitt', 'MireilleEnos', 'AbigailHargrove']",MarcForster
127585,"['HughJackman', 'JamesMcAvoy', 'MichaelFassbender']",BryanSinger
54138,"['ChrisPine', 'ZacharyQuinto', 'ZoeSaldana']",J.J.Abrams
81005,"['NicholasHoult', 'EleanorTomlinson', 'EwanMcGregor']",BryanSinger
64682,"['LeonardoDiCaprio', 'TobeyMaguire', 'CareyMulligan']",BazLuhrmann
9543,"['JakeGyllenhaal', 'GemmaArterton', 'BenKingsley']",MikeNewell
68726,"['IdrisElba', 'CharlieHunnam', 'CharlieDay']",GuillermodelToro
38356,"['ShiaLaBeouf', 'JohnMalkovich', 'KenJeong']",MichaelBay
217,"['HarrisonFord', 'CateBlanchett', 'ShiaLaBeouf']",StevenSpielberg
105864,"['RaymondOchoa', 'JackBright', 'JeffreyWright']",PeterSohn
62177,"['KellyMacdonald', 'JulieWalters', 'BillyConnolly']",BrendaChapman
188927,"['ChrisPine', 'ZacharyQuinto', 'KarlUrban']",JustinLin
10681,"['BenBurtt', 'ElissaKnight', 'JeffGarlin']",AndrewStanton
5174,"['ChrisTucker', 'JackieChan', 'HiroyukiSanada']",BrettRatner
14161,"['JohnCusack', 'AmandaPeet', 'ChiwetelEjiofor']",RolandEmmerich
17979,"['GaryOldman', 'JimCarrey', 'SteveValentine']",RobertZemeckis
76757,"['MilaKunis', 'ChanningTatum', 'SeanBean']",LillyWachowski
258489,"['AlexanderSkarsgård', 'MargotRobbie', 'ChristophWaltz']",DavidYates
411,"['WilliamMoseley', 'AnnaPopplewell', 'SkandarKeynes']",AndrewAdamson
246655,"['JamesMcAvoy', 'MichaelFassbender', 'JenniferLawrence']",BryanSinger
155,"['ChristianBale', 'HeathLedger', 'AaronEckhart']",ChristopherNolan
14160,"['EdAsner', 'ChristopherPlummer', 'JordanNagai']",PeteDocter
15512,"['SethRogen', 'ReeseWitherspoon', 'HughLaurie']",ConradVernon
1726,"['RobertDowneyJr.', 'TerrenceHoward', 'JeffBridges']",JonFavreau
44826,"['BenKingsley', 'SachaBaronCohen', 'AsaButterfield']",MartinScorsese
8487,"['WillSmith', 'KevinKline', 'KennethBranagh']",BarrySonnenfeld
1735,"['BrendanFraser', 'JetLi', 'JohnHannah']",RobCohen
297761,"['WillSmith', 'MargotRobbie', 'JoelKinnaman']",DavidAyer
2698,"['SteveCarell', 'LaurenGraham', 'JohnGoodman']",TomShadyac
137113,"['TomCruise', 'EmilyBlunt', 'BrendanGleeson']",DougLiman
9804,"['KevinCostner', 'ChaimGirafi', 'RickAviles']",KevinReynolds
14869,"['DennisQuaid', 'ChanningTatum', 'MarlonWayans']",StephenSommers
150540,"['AmyPoehler', 'PhyllisSmith', 'RichardKind']",PeteDocter
278927,"['NeelSethi', 'BillMurray', 'BenKingsley']",JonFavreau
10138,"['RobertDowneyJr.', 'GwynethPaltrow', 'DonCheadle']",JonFavreau
58595,"['KristenStewart', 'CharlizeTheron', 'ChrisHemsworth']",RupertSanders
102651,"['AngelinaJolie', 'ElleFanning', 'SharltoCopley']",RobertStromberg
119450,"['AndySerkis', 'JasonClarke', 'GaryOldman']",MattReeves
79698,"['JoshHartnett', 'SimoneKessell', 'TamsinEgerton']",RolandJoffé
64686,"['KeanuReeves', 'HiroyukiSanada', 'KouShibasaki']",CarlRinsch
