movie_id,title,cast,director
19995,Avatar,"['SamWorthington', 'ZoeSaldana', 'SigourneyWeaver']",JamesCameron
285,Pirates of the Caribbean: At World's End,"['JohnnyDepp', 'OrlandoBloom', 'KeiraKnightley']",GoreVerbinski
206647,Spectre,"['DanielCraig', 'ChristophWaltz', 'LéaSeydoux']",SamMendes
49026,The Dark Knight Rises,"['ChristianBale', 'MichaelCaine', 'GaryOldman']",ChristopherNolan
49529,John Carter,"['TaylorKitsch', 'LynnCollins', 'SamanthaMorton']",AndrewStanton
559,Spider-Man 3,"['TobeyMaguire', 'KirstenDunst', 'JamesFranco']",SamRaimi
38757,Tangled,"['ZacharyLevi', 'MandyMoore', 'DonnaMurphy']",ByronHoward
99861,Avengers: Age of Ultron,"['RobertDowneyJr.', 'ChrisHemsworth', 'MarkRuffalo']",JossWhedon
767,Harry Potter and the Half-Blood Prince,"['DanielRadcliffe', 'RupertGrint', 'EmmaWatson']",DavidYates
209112,Batman v Superman: Dawn of Justice,"['BenAffleck', 'HenryCavill', 'GalGadot']",ZackSnyder
1452,Superman Returns,"['BrandonRouth', 'KevinSpacey', 'KateBosworth']",BryanSinger
10764,Quantum of Solace,"['DanielCraig', 'OlgaKurylenko', 'MathieuAmalric']",MarcForster
58,Pirates of the Caribbean: Dead Man's Chest,"['JohnnyDepp', 'OrlandoBloom', 'KeiraKnightley']",GoreVerbinski
57201,The Lone Ranger,"['JohnnyDepp', 'ArmieHammer', 'WilliamFichtner']",GoreVerbinski
49521,Man of Steel,"['HenryCavill', 'AmyAdams', 'MichaelShannon']",ZackSnyder
2454,The Chronicles of Narnia: Prince Caspian,"['BenBarnes', 'WilliamMoseley', 'AnnaPopplewell']",AndrewAdamson
24428,The Avengers,"['RobertDowneyJr.', 'ChrisEvans', 'MarkRuffalo']",JossWhedon
1865,Pirates of the Caribbean: On Stranger Tides,"['JohnnyDepp', 'PenélopeCruz', 'IanMcShane']",RobMarshall
41154,Men in Black 3,"['WillSmith', 'TommyLeeJones', 'JoshBrolin']",BarrySonnenfeld
122917,The Hobbit: The Battle of the Five Armies,"['MartinFreeman', 'IanMcKellen', 'RichardArmitage']",PeterJackson
1930,The Amazing Spider-Man,"['AndrewGarfield', 'EmmaStone', 'RhysIfans']",MarcWebb
20662,Robin Hood,"['RussellCrowe', 'CateBlanchett', 'MaxvonSydow']",RidleyScott
